VariableName,VariableLabel
SC222Q01JA,"During COVID closures, extent you felt these groups supported your school:  A national educational authority"
SC222Q02JA,"During COVID closures, extent you felt these groups supported your school:  A regional educational authority"
SC222Q03JA,"During COVID closures, extent you felt these groups supported your school:  A local educational authority"
SC222Q04JA,"During COVID closures, extent you felt these groups supported your school:  Students' parents or guardians"
SC222Q05JA,"During COVID closures, extent you felt these groups supported your school:  Private donors"
SC223Q01JA,"School prepare by? Training teaching staff on the use of video communication programs (e.g. Zoom™, Skype™, Google® Meet™, Microsoft® Teams) for remote instruction"
SC223Q02JA,"School prepare by? Training students on the use of video communication programs (e.g. Zoom™, Skype™, Google® Meet™, Microsoft® Teams) for remote instruction"
SC223Q03JA,"School prepare by? Preparing digital material for remote instruction (e.g. reorganising existing resources, designing new resources)"
SC223Q04JA,"School prepare by? Preparing paper-based material for remote instruction (e.g. reorganising existing resources, designing new resources)"
SC223Q05JA,"School prepare by? Adapting existing curriculum plans for remote instruction (e.g. modifying course requirements, sequence of lessons, grading policies)"
SC223Q06JA,"School prepare by? Preparing digital materials for assessing student learning via online assessment (e.g. quizzes, tests)"
SC223Q07JA,School prepare by? Compiling instructional resources for parents or guardians to support their child's learning outside the school
SC223Q08JA,School prepare by? Ensuring that students have access to digital devices for remote instruction
SC223Q09JA,School prepare by? Ensuring that teaching staff have access to digital resources for remote instruction
SC223Q10JA,School prepare by? Preparing a plan for transitioning students and teachers from classroom-based instruction to remote instruction
SC155Q06HA,Agree/disagree: Teachers have the necessary technical and pedagogical skills to integrate digital devices in instruction.
SC155Q07HA,Agree/disagree: Teachers have sufficient time to prepare lessons integrating digital devices.
SC155Q08HA,Agree/disagree: Effective professional resources for teachers to learn how to use digital devices are available.
SC155Q09HA,Agree/disagree: An effective online learning support platform is available.
SC155Q10HA,Agree/disagree: Teachers are provided with incentives to integrate digital devices in their teaching.
SC155Q11HA,Agree/disagree: The school has sufficient qualified technical assistant staff.
SC224Q01JA,How prepared is your school to provide remote instruction if closed to students for an extended period in the future?
SC209Q04JA,Have you: I have spoken to teachers at my school about the importance of the PISA test.
SC209Q05JA,Have you: I have spoken to parents or guardians about the importance of the PISA test.
SC209Q06JA,Have you: I have encouraged the students at my school to do their best during the PISA test.
PRIVATESCH,"School type derived from sampling information; values = public, private, missing"
SCHLTYPE,School type
SCHSIZE,School size (Sum)
TOTAT,Total number of all teachers at school (Sum)
PROATCE,Proportion of all teachers fully certified
PROPAT6,Proportion of all teachers with at least ISCED level 6 Bachelor qualification
PROPAT7,Proportion of all teachers with at least ISCED level 7 Master qualification
PROPAT8,Proportion of all teachers with ISCED level 8 Doctoral qualification
STRATIO,Student-teacher ratio
TOTMATH,Total number of mathematics teachers at school (Sum)
PROPMATH,Proportion of mathematics teachers at school
SMRATIO,Student-mathematics teacher ratio
TOTSTAFF,Total number of non-teaching staff at school
PROPSUPP,Proportion of personnel for pedagogical support
PROADMIN,Proportion of school administrative personnel
PROMGMT,Proportion of school management personnel
PROOSTAF,Proportion of other non-teaching staff
SCHSEL,School selectivity
SCHAUTO,School autonomy (WLE)
TCHPART,Teacher participation (WLE)
SRESPCUR,School responsibility for curriculum
SRESPRES,School responsibility for resources
EDULEAD,Educational leadership (WLE)
INSTLEAD,Instructional leadership (WLE)
ENCOURPG,School encouragement of parent or guardian involvement (WLE)
RATCMP1,Availability of computers
RATCMP2,Computers connected to the Internet
RATTAB,Availability of tablet devices
DIGDVPOL,Digital device policies at school (WLE)
TEAFDBK,Feedback to teachers (WLE)
MTTRAIN,Mathematics teacher training (WLE)
DMCVIEWS,School diversity and multi-cultural views (WLE)
NEGSCLIM,Negative school climate (WLE)
STAFFSHORT,Shortage of educational staff (WLE)
EDUSHORT,Shortage of educational material (WLE)
STUBEHA,Student-related factors affecting school climate (WLE)
TEACHBEHA,Teacher-related factors affecting school climate (WLE)
MCLSIZE,Math class size
CLSIZE,Class size (test language class)
STDTEST,Use of standardized tests (WLE)
TDTEST,Use of teacher-developed tests (WLE)
CREACTIV,Creative extra-curricular activities (3 activities)
ALLACTIV,Extra-curricular activities offered (all) (WLE)
MACTIV,Mathematics-related extra-curricular activities at school
MATHEXC,Mathematics extension courses offered at school
ABGMATH,Ability grouping for mathematics classes
BCREATSC,Beliefs about creativity (WLE)
CREENVSC,Creative school environment (WLE)
ACTCRESC,Creative school activities offered (WLE)
OPENCUL,Openness culture/climate (WLE)
SCSUPRTED,School Closure Support from Education Authorities
SCSUPRT,School Closure Support from Other Sources
PROBSCRI,Problems with Schools’ Capacity to Provide Remote Instruction (WLE)
SCPREPBP,"School Preparation for Remote Instruction, Before Pandemic (WLE)"
SCPREPAP,"School Preparation for Remote Instruction, In Response to Pandemic (WLE)"
DIGPREP,Preparedness for Digital Learning (WLE)
W_SCHGRNRABWT,GRADE NONRESPONSE ADJUSTED SCHOOL BASE WEIGHT
W_FSTUWT_SCH_SUM,Sum of W_FSTUWT
W_FSTUWT_SCH_N,N of W_FSTUWT
SENWT,Senate Weight (sum of 5000 per country)
VER_DAT,Date of the database creation
