CNTSCHID,CNTSTUID,ST267Q01JA,ST267Q02JA,ST267Q03JA,ST267Q04JA,ST267Q05JA,ST267Q06JA,ST267Q07JA,ST267Q08JA,ST034Q01TA,ST034Q02TA,ST034Q03TA,ST034Q04TA,ST034Q05TA,ST034Q06TA,ST038Q03NA,ST038Q04NA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST038Q08NA,ST038Q09JA,ST038Q10JA,ST038Q11JA,ST265Q01JA,ST265Q02JA,ST265Q03JA,ST265Q04JA
60800153,60801498,Not Applicable,Agree,Agree,Disagree,Not Applicable,Agree,Not Applicable,Disagree,Not Applicable,Agree,Agree,Disagree,Agree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800017,60801499,Agree,Agree,Agree,Agree,Agree,Not Applicable,Not Applicable,Not Applicable,Agree,Agree,Agree,Disagree,Agree,Not Applicable,A few times a year,Once a week or more,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800010,60801500,Strongly agree,Not Applicable,Not Applicable,Disagree,Agree,Agree,Agree,Not Applicable,Disagree,Agree,Agree,Disagree,Disagree,Not Applicable,Never or almost never,A few times a month,A few times a year,Never or almost never,Never or almost never,Never or almost never,A few times a year,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800161,60801501,Agree,Disagree,Not Applicable,Not Applicable,Not Applicable,Agree,Agree,Disagree,Strongly disagree,Not Applicable,Agree,Disagree,Agree,Disagree,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Disagree
60800053,60801502,Not Applicable,Agree,Agree,Not Applicable,Agree,Agree,Agree,Not Applicable,Strongly disagree,Agree,Not Applicable,Disagree,Agree,Disagree,A few times a year,A few times a month,Never or almost never,Never or almost never,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Strongly agree,Agree
60800119,60801503,Not Applicable,Strongly disagree,Strongly disagree,Not Applicable,Strongly disagree,Strongly disagree,Not Applicable,Strongly disagree,Not Applicable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800141,60801504,Agree,Not Applicable,Agree,Disagree,Agree,Not Applicable,Agree,Not Applicable,Disagree,Agree,Disagree,Agree,Disagree,Not Applicable,Never or almost never,Once a week or more,A few times a month,Never or almost never,Never or almost never,Never or almost never,A few times a month,Never or almost never,Once a week or more,Disagree,Agree,Agree,Agree
60800181,60801505,Agree,Not Applicable,Agree,Agree,Agree,Agree,Not Applicable,Not Applicable,Disagree,Agree,Not Applicable,Disagree,Agree,Disagree,Once a week or more,A few times a month,A few times a year,A few times a month,A few times a month,A few times a month,A few times a year,A few times a month,A few times a month,Agree,Agree,Agree,Agree
60800057,60801506,Not Applicable,Agree,Agree,Not Applicable,Agree,Agree,Not Applicable,Agree,Disagree,Agree,Strongly agree,Disagree,Agree,Not Applicable,Once a week or more,Once a week or more,Once a week or more,A few times a month,Once a week or more,A few times a month,Never or almost never,Never or almost never,A few times a year,Disagree,Disagree,Agree,Disagree
60800080,60801507,Strongly agree,Agree,Not Applicable,Not Applicable,Agree,Agree,Strongly agree,Not Applicable,Not Applicable,Agree,Agree,Disagree,Agree,Strongly disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Strongly agree,Strongly agree
60800065,60801508,Strongly agree,Not Applicable,Not Applicable,Disagree,Strongly agree,Strongly agree,Not Applicable,Strongly disagree,Strongly disagree,Agree,Agree,Not Applicable,Agree,Disagree,Never or almost never,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800164,60801510,Agree,Not Applicable,Disagree,Not Applicable,Disagree,Agree,Not Applicable,Disagree,Strongly disagree,Disagree,Not Applicable,Disagree,Disagree,Disagree,A few times a year,A few times a year,A few times a year,Never or almost never,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800042,60801511,Disagree,Not Applicable,Not Applicable,Disagree,Not Applicable,Agree,Agree,Agree,Not Applicable,Agree,Strongly agree,Disagree,Disagree,Agree,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800133,60801512,Agree,Agree,Agree,Not Applicable,Not Applicable,Agree,Agree,Not Applicable,Disagree,Agree,Agree,Disagree,Not Applicable,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Agree,Agree
60800001,60801513,Not Applicable,Disagree,Agree,Not Applicable,Agree,Disagree,Not Applicable,Agree,Not Applicable,Agree,Agree,Agree,Agree,Agree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Disagree,Agree,Agree
60800122,60801515,Not Applicable,Not Applicable,Agree,Disagree,Agree,Agree,Agree,Not Applicable,Not Applicable,Disagree,Disagree,Agree,Disagree,Agree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800075,60801516,Agree,Disagree,Disagree,Not Applicable,Disagree,Not Applicable,Disagree,Not Applicable,Disagree,Agree,Agree,Agree,Not Applicable,Agree,Once a week or more,A few times a month,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Once a week or more,Never or almost never,Agree,Agree,Agree,Agree
60800054,60801517,Not Applicable,Agree,Agree,Agree,Not Applicable,Agree,Not Applicable,Disagree,Disagree,Agree,Not Applicable,Disagree,Agree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800081,60801518,Strongly agree,Not Applicable,Strongly agree,Not Applicable,Not Applicable,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Disagree,Not Applicable,Strongly disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Strongly agree,Strongly agree,Strongly agree
60800178,60801519,Disagree,Disagree,Not Applicable,Not Applicable,Not Applicable,Strongly disagree,Disagree,Strongly agree,Not Applicable,Agree,Agree,Agree,Agree,Disagree,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800017,60801520,Not Applicable,Not Applicable,Agree,Not Applicable,Strongly agree,Agree,Agree,Strongly disagree,Not Applicable,Disagree,Agree,Agree,Agree,Strongly disagree,A few times a year,A few times a year,Never or almost never,Never or almost never,A few times a year,Never or almost never,A few times a year,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Agree,Agree
60800132,60801522,Agree,Not Applicable,Agree,Not Applicable,Strongly agree,Not Applicable,Agree,Agree,Not Applicable,Agree,Agree,Strongly agree,Disagree,Strongly agree,Never or almost never,A few times a year,A few times a year,Never or almost never,A few times a year,A few times a year,Never or almost never,A few times a year,A few times a year,Agree,Agree,Agree,Agree
60800079,60801523,Strongly agree,Disagree,Agree,Not Applicable,Not Applicable,Strongly agree,Not Applicable,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Not Applicable,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800048,60801524,Not Applicable,Agree,Not Applicable,Agree,Not Applicable,Strongly agree,Strongly agree,Strongly disagree,Disagree,Agree,Disagree,Agree,Not Applicable,Strongly agree,Never or almost never,Once a week or more,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,A few times a year,No Response,Agree,Strongly agree,Strongly agree,Disagree
60800074,60801525,Agree,Strongly disagree,Agree,Not Applicable,Disagree,Not Applicable,Not Applicable,Strongly disagree,No Response,No Response,No Response,No Response,No Response,Not Applicable,A few times a month,Never or almost never,A few times a month,A few times a year,Never or almost never,Never or almost never,Never or almost never,A few times a year,Never or almost never,Disagree,Strongly agree,Strongly Disagree,Agree
60800086,60801526,Disagree,Not Applicable,Disagree,Not Applicable,Disagree,Strongly disagree,Not Applicable,Disagree,Strongly disagree,Disagree,Disagree,Not Applicable,Agree,Disagree,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,No Response,Once a week or more,No Response,Never or almost never,Agree,Agree,Agree,Agree
60800047,60801527,Strongly agree,Not Applicable,Not Applicable,Disagree,Strongly agree,Not Applicable,Strongly agree,Strongly agree,Disagree,Strongly agree,Not Applicable,Disagree,Strongly agree,Agree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800085,60801528,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not Applicable,Not Applicable,Not Applicable,Strongly disagree,Agree,Agree,Agree,Not Applicable,Agree,Strongly agree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800010,60801529,Strongly agree,Agree,Agree,Agree,Not Applicable,Not Applicable,Not Applicable,Agree,Not Applicable,Agree,Agree,Disagree,Agree,Agree,Never or almost never,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800108,60801530,Strongly disagree,Strongly disagree,Not Applicable,Not Applicable,Strongly disagree,Disagree,Strongly disagree,Not Applicable,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Not Applicable,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800115,60801531,Not Applicable,Not Applicable,Agree,Agree,Agree,Not Applicable,Agree,Disagree,Not Applicable,No Response,No Response,No Response,No Response,No Response,Never or almost never,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800076,60801532,Agree,Not Applicable,Not Applicable,Not Applicable,Agree,Agree,Agree,Agree,Agree,Disagree,Not Applicable,Agree,Agree,Disagree,A few times a year,A few times a year,A few times a year,A few times a month,A few times a month,A few times a year,A few times a year,A few times a year,A few times a month,Agree,Agree,Agree,Agree
60800154,60801533,Not Applicable,Agree,Not Applicable,Disagree,Strongly agree,Not Applicable,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Not Applicable,A few times a month,A few times a month,Once a week or more,A few times a month,A few times a month,Never or almost never,A few times a month,Never or almost never,Never or almost never,Agree,Strongly agree,Agree,Disagree
60800016,60801534,Not Applicable,Disagree,Disagree,Disagree,Not Applicable,Disagree,Disagree,Not Applicable,Disagree,Not Applicable,Disagree,Disagree,Disagree,Disagree,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800157,60801535,Strongly agree,Not Applicable,Strongly disagree,Agree,Not Applicable,Agree,Not Applicable,Strongly disagree,Disagree,Not Applicable,Agree,Disagree,Agree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Disagree,Agree,Agree,Disagree
60800138,60801536,Agree,Agree,Not Applicable,Not Applicable,Not Applicable,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Not Applicable,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800026,60801537,Not Applicable,Disagree,Strongly agree,Not Applicable,Not Applicable,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Not Applicable,Disagree,A few times a month,Once a week or more,Never or almost never,Never or almost never,Never or almost never,A few times a month,Never or almost never,Never or almost never,Never or almost never,Disagree,Disagree,Strongly agree,Agree
60800062,60801538,Agree,Agree,Agree,Not Applicable,Not Applicable,Agree,Agree,Not Applicable,Strongly disagree,Disagree,Not Applicable,Disagree,Disagree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Disagree,Disagree
60800113,60801539,Strongly disagree,Agree,Not Applicable,Strongly disagree,Strongly disagree,Not Applicable,Strongly disagree,Not Applicable,Not Applicable,Agree,Agree,Agree,Strongly agree,Strongly disagree,A few times a year,A few times a year,A few times a year,A few times a month,Once a week or more,A few times a year,Never or almost never,A few times a year,A few times a month,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800027,60801540,Not Applicable,Agree,Agree,Disagree,Agree,Not Applicable,Not Applicable,Disagree,Not Applicable,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Once a week or more,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Once a week or more,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800185,60801541,Agree,Agree,Agree,Agree,Not Applicable,Not Applicable,Agree,Not Applicable,Strongly agree,Strongly agree,Disagree,Disagree,Not Applicable,Disagree,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Disagree,Agree,Agree,Strongly agree
60800151,60801542,Agree,Strongly agree,Agree,Not Applicable,Strongly agree,Not Applicable,Not Applicable,Disagree,Strongly disagree,Agree,Agree,Disagree,Not Applicable,Strongly agree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Once a week or more,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800117,60801543,Disagree,Disagree,Not Applicable,Not Applicable,Disagree,Not Applicable,Agree,Disagree,Not Applicable,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800048,60801544,Strongly agree,Strongly agree,Strongly agree,Not Applicable,Agree,Not Applicable,Not Applicable,Agree,Agree,Not Applicable,Strongly agree,Disagree,Disagree,Agree,Once a week or more,A few times a year,Never or almost never,Once a week or more,Never or almost never,Never or almost never,Never or almost never,A few times a month,A few times a month,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800090,60801545,Not Applicable,Agree,Strongly agree,Disagree,Not Applicable,Agree,Not Applicable,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Not Applicable,Strongly disagree,Never or almost never,A few times a month,Never or almost never,Never or almost never,A few times a month,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800154,60801546,Not Applicable,Agree,Not Applicable,Agree,Agree,Strongly agree,Strongly agree,Not Applicable,Not Applicable,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Never or almost never,Once a week or more,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Strongly agree,Strongly agree
60800130,60801547,Strongly agree,Strongly agree,Not Applicable,Not Applicable,Not Applicable,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Not Applicable,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800101,60801548,Strongly disagree,Disagree,Not Applicable,Not Applicable,Strongly disagree,Agree,Not Applicable,Agree,Disagree,Agree,Strongly agree,Not Applicable,Strongly disagree,Agree,Never or almost never,A few times a year,Never or almost never,A few times a year,A few times a month,A few times a year,Once a week or more,A few times a month,Once a week or more,Strongly agree,Disagree,Strongly Disagree,Strongly agree
60800127,60801549,Not Applicable,Strongly agree,Strongly agree,Strongly disagree,Not Applicable,Not Applicable,Strongly agree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,Not Applicable,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800128,60801550,Agree,Not Applicable,Not Applicable,Not Applicable,Strongly disagree,Agree,Disagree,Agree,Disagree,Agree,Not Applicable,Disagree,Agree,Disagree,Never or almost never,Never or almost never,Once a week or more,Never or almost never,Never or almost never,Once a week or more,A few times a month,Never or almost never,A few times a month,Agree,Agree,Agree,Agree
60800153,60801551,Agree,Not Applicable,Not Applicable,Disagree,Agree,Strongly agree,Not Applicable,Strongly disagree,Not Applicable,Agree,Agree,Disagree,Strongly disagree,Strongly agree,A few times a year,Never or almost never,A few times a year,A few times a month,Once a week or more,Never or almost never,A few times a year,A few times a month,Never or almost never,Agree,Agree,Agree,Agree
60800111,60801552,Strongly agree,Not Applicable,Strongly agree,Strongly agree,Not Applicable,Strongly agree,Not Applicable,Strongly disagree,Disagree,Not Applicable,Agree,Disagree,Agree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Strongly agree,Agree
60800043,60801553,Not Applicable,Agree,Strongly agree,Disagree,Agree,Not Applicable,Strongly agree,Not Applicable,Strongly disagree,Agree,Disagree,Disagree,Agree,Not Applicable,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800082,60801554,Not Applicable,Strongly agree,Agree,Strongly agree,Not Applicable,Not Applicable,Agree,Agree,Not Applicable,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Never or almost never,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,A few times a year,A few times a year,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree
60800093,60801555,Agree,Not Applicable,Disagree,Agree,Not Applicable,Agree,Not Applicable,Disagree,Agree,Disagree,Not Applicable,Agree,Disagree,Agree,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,A few times a year,Never or almost never,Never or almost never,Never or almost never,Disagree,Agree,Disagree,Disagree
60800076,60801556,Not Applicable,Strongly agree,No Response,Agree,Disagree,Strongly disagree,Not Applicable,Not Applicable,Strongly agree,Not Applicable,Disagree,Agree,Disagree,Strongly disagree,A few times a year,A few times a year,Never or almost never,A few times a month,A few times a month,A few times a year,Once a week or more,A few times a month,Once a week or more,Agree,Agree,Agree,Agree
60800149,60801557,Not Applicable,Agree,Agree,Disagree,Not Applicable,Disagree,Not Applicable,Strongly disagree,Disagree,Disagree,Agree,Not Applicable,Agree,Agree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Strongly agree,Agree,Agree
60800055,60801558,Agree,Not Applicable,Agree,Not Applicable,Agree,Not Applicable,Agree,Agree,Agree,Not Applicable,Strongly agree,Agree,Agree,Agree,Never or almost never,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,Agree,Agree,Agree,Agree
60800089,60801559,Disagree,Agree,Not Applicable,Agree,Not Applicable,Agree,Not Applicable,Disagree,Strongly disagree,Agree,Not Applicable,Strongly disagree,Strongly disagree,Strongly disagree,Never or almost never,Once a week or more,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Disagree
60800187,60801560,Not Applicable,Agree,Agree,Not Applicable,Agree,Not Applicable,Strongly agree,Agree,Strongly disagree,Strongly agree,Not Applicable,Strongly disagree,Agree,Strongly disagree,Never or almost never,Never or almost never,Never or almost never,Once a week or more,Once a week or more,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800012,60801561,Agree,Not Applicable,Agree,Not Applicable,Agree,Not Applicable,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Not Applicable,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800120,60801562,Strongly agree,Not Applicable,Not Applicable,Agree,Strongly agree,Agree,Strongly agree,Not Applicable,Disagree,Not Applicable,Strongly agree,Agree,Disagree,Agree,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,A few times a year,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Agree
60800098,60801563,Agree,Not Applicable,Not Applicable,Agree,Strongly agree,Not Applicable,Strongly agree,Agree,Disagree,Strongly agree,Not Applicable,Agree,Agree,Disagree,A few times a year,Once a week or more,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Disagree
60800037,60801564,Agree,Disagree,Not Applicable,Strongly disagree,Not Applicable,Agree,Not Applicable,Agree,Strongly agree,Not Applicable,Disagree,Disagree,Disagree,Disagree,A few times a year,Never or almost never,A few times a year,No Response,A few times a month,A few times a year,Never or almost never,A few times a month,A few times a year,Strongly agree,Disagree,Strongly agree,Agree
60800045,60801565,Strongly agree,Disagree,Strongly disagree,Not Applicable,Agree,Not Applicable,Disagree,Not Applicable,Agree,Agree,Strongly agree,Not Applicable,Agree,Strongly disagree,A few times a year,A few times a month,A few times a month,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Once a week or more,A few times a month,Strongly agree,Agree,Agree,Disagree
60800110,60801566,Strongly agree,Agree,Not Applicable,Not Applicable,Not Applicable,Disagree,Agree,Disagree,Agree,Strongly agree,Not Applicable,Agree,Agree,Agree,Never or almost never,A few times a month,Once a week or more,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Once a week or more,Once a week or more,Agree,Agree,Agree,Agree
60800100,60801567,Strongly agree,Not Applicable,Agree,Not Applicable,Agree,Strongly agree,Strongly agree,Not Applicable,Strongly disagree,Not Applicable,Strongly agree,Strongly disagree,Agree,Strongly disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Strongly agree,Strongly agree
60800059,60801568,Strongly agree,Not Applicable,Agree,Agree,Agree,Agree,Not Applicable,Not Applicable,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Not Applicable,Never or almost never,A few times a month,A few times a month,A few times a year,Never or almost never,Never or almost never,Never or almost never,A few times a month,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800169,60801569,Strongly agree,Agree,Agree,Not Applicable,Agree,Not Applicable,Not Applicable,Disagree,Disagree,Strongly agree,Strongly agree,Not Applicable,Agree,Disagree,Once a week or more,A few times a month,A few times a year,Never or almost never,A few times a month,A few times a year,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800123,60801570,Not Applicable,Agree,Agree,Not Applicable,Not Applicable,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Not Applicable,Agree,Never or almost never,A few times a month,Never or almost never,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Disagree,Disagree
60800072,60801571,Not Applicable,Disagree,Disagree,Agree,Not Applicable,Agree,Strongly agree,Not Applicable,Not Applicable,Strongly agree,Agree,Disagree,Agree,Disagree,A few times a year,A few times a year,A few times a year,Never or almost never,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800120,60801572,Strongly agree,Not Applicable,Disagree,Disagree,Disagree,Agree,Not Applicable,Not Applicable,Agree,Disagree,Not Applicable,Agree,Agree,Agree,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Strongly agree,Agree
60800106,60801573,Agree,Agree,Strongly agree,Not Applicable,Strongly agree,Strongly agree,Not Applicable,Not Applicable,Strongly disagree,Agree,Agree,Disagree,Not Applicable,Disagree,A few times a month,Once a week or more,A few times a month,A few times a month,A few times a month,Once a week or more,Never or almost never,Never or almost never,A few times a month,Agree,Agree,Agree,Agree
60800038,60801575,Agree,Agree,No Response,Not Applicable,Not Applicable,Agree,Agree,Not Applicable,Disagree,Agree,Not Applicable,Disagree,Agree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Disagree,Disagree,Agree,Agree
60800022,60801576,Agree,Not Applicable,Agree,Agree,Not Applicable,Not Applicable,Agree,Disagree,Not Applicable,Agree,Agree,Agree,Agree,Disagree,Never or almost never,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800158,60801577,Strongly agree,Not Applicable,Not Applicable,Agree,Disagree,Not Applicable,Agree,Disagree,Not Applicable,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Never or almost never,Once a week or more,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800165,60801579,Not Applicable,Strongly disagree,Not Applicable,Strongly disagree,Strongly disagree,Strongly disagree,Not Applicable,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Not Applicable,Never or almost never,Once a week or more,Once a week or more,A few times a month,Never or almost never,A few times a year,A few times a year,Never or almost never,A few times a year,Agree,Agree,Agree,Agree
60800083,60801580,Agree,Agree,Not Applicable,Disagree,Not Applicable,Agree,Not Applicable,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Not Applicable,Never or almost never,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800172,60801581,Not Applicable,Disagree,Disagree,Not Applicable,Not Applicable,Agree,Strongly agree,Strongly disagree,Not Applicable,Agree,Agree,Disagree,Agree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Agree
60800031,60801582,Not Applicable,Agree,Not Applicable,Not Applicable,Strongly agree,Disagree,Agree,Agree,Not Applicable,Disagree,Agree,Disagree,Strongly agree,Agree,Never or almost never,A few times a month,A few times a year,Once a week or more,Once a week or more,Never or almost never,A few times a month,Never or almost never,Never or almost never,Agree,Strongly agree,Disagree,Strongly Disagree
60800096,60801583,Not Applicable,Disagree,Strongly agree,Not Applicable,Agree,Agree,Not Applicable,Agree,Strongly disagree,Agree,Not Applicable,Strongly disagree,Disagree,Agree,Never or almost never,Once a week or more,Never or almost never,Never or almost never,A few times a year,Never or almost never,A few times a year,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
